Ville;Département;Region;2012-13
Avignon;Vaucluse;Provence-Alpes-Côte d'Azur;89380
Vitry-sur-Seine;Val-de-Marne;Île-de-France;88102
Poitiers;Vienne;Poitou-Charentes;87646
Courbevoie;Hauts-de-Seine;Île-de-France;86854
Fort-de-France;Martinique;Martinique;85667
Versailles;Yvelines;Île-de-France;85424
Colombes;Hauts-de-Seine;Île-de-France;85357
Asnières-sur-Seine;Hauts-de-Seine;Île-de-France;83845
Aulnay-sous-Bois;Seine-Saint-Denis;Île-de-France;81899
Saint-Pierre;La Réunion;La Réunion;80823
